# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
ji duan 	极端	c=1 d=1 t=2135
ji fen zhong 	几分钟	c=1 d=1 t=5657
ji ge 	几个	c=0 d=0.1 t=1100
ji ge yue 	几个月	c=1 d=1 t=2399
ji hua 	计划	c=2 d=1 t=5606
ji hua tong 	计划通	c=1 d=1 t=1653
ji hui 	机会	c=2 d=1.00005 t=5420
ji ji 	唧唧	c=4 d=1.03885 t=4752
ji jian 	几间	c=1 d=1 t=144
ji jian 	极简	c=1 d=1 t=1608
ji jian 	肌腱	c=2 d=1.99501 t=169
ji liang 	剂量	c=1 d=1 t=5311
ji liang 	吉良	c=1 d=1 t=1129
ji nian 	纪念	c=1 d=1 t=5227
ji qi 	机器	c=2 d=1 t=3280
ji qian 	几钱	c=1 d=1 t=3499
ji ri 	即日	c=2 d=1.98511 t=6508
ji rou 	肌肉	c=4 d=1.09656 t=6672
ji rou liang 	肌肉量	c=3 d=1.1137 t=1703
ji rou liang da 	肌肉量大	c=1 d=1 t=1698
ji shu 	技术	c=2 d=1.90484 t=216
ji shu yi min 	技术移民	c=1 d=1 t=1167
ji su 	激素	c=1 d=1 t=1987
ji suan 	计算	c=1 d=1 t=322
ji tian 	几天	c=1 d=1.00096 t=2122
ji xiang 	机箱	c=3 d=1.98109 t=3700
ji xin 	寄信	c=1 d=1 t=4553
ji xiong 	鸡胸	c=1 d=1 t=6725
ji xu 	继续	c=1 d=1 t=1881
ji zai 	记在	c=3 d=1 t=6835
ji zhong 	几种	c=1 d=1 t=5865
ji zhong 	集中	c=2 d=1.956 t=2170
ji zhu 	记住	c=2 d=1 t=6254
jia 	加	c=11 d=2.78532 t=6761
jia 	夹	c=1 d=1 t=5031
jia 	家	c=1 d=1 t=240
jia 	钾	c=3 d=1.00233 t=2152
jia ge 	价格	c=1 d=1 t=3068
jia ge 	加个	c=1 d=1 t=3770
jia le 	加了	c=2 d=1.99501 t=3774
jia na da 	加拿大	c=17 d=2.62747 t=5465
jia qian 	价钱	c=2 d=1.00002 t=3405
jia ru 	加入	c=1 d=1 t=2643
jia shi 	驾驶	c=2 d=1.98511 t=4314
jia shi qi 	加湿器	c=4 d=1 t=5634
jia shu 	家属	c=1 d=1 t=6003
jia si 	家私	c=2 d=1.00119 t=3274
jia you jia you 	加油加油	c=2 d=1.00001 t=3287
jia zhao 	驾照	c=1 d=1 t=4291
jian 	剑	c=2 d=1.02215 t=3661
jian 	煎	c=3 d=2.94624 t=6744
jian 	肩	c=1 d=1 t=2404
jian 	间	c=1 d=1 t=189
jian bang 	肩膀	c=2 d=1.00001 t=4035
jian cha 	检查	c=3 d=1 t=6244
jian dan 	简单	c=1 d=1 t=5795
jian guo 	见过	c=0 d=0.1 t=3108
jian guo le 	见过了	c=1 d=1 t=3109
jian kang 	健康	c=4 d=1.55194 t=2431
jian li 	建立	c=1 d=1 t=5716
jian mei 	健美	c=2 d=1.99005 t=2313
jian pan 	键盘	c=0 d=0.1 t=1897
jian pan le 	键盘了	c=1 d=1 t=1898
jian qing 	减轻	c=1 d=1 t=181
jian shen fang 	健身房	c=1 d=1 t=2929
jian xiao 	见效	c=1 d=1 t=1281
jian xiao kuai 	见效快	c=1 d=1 t=111
jian xiao man 	见效慢	c=1 d=1 t=106
jian yi 	建议	c=1 d=1.07945 t=1839
jian yi ke le 	健怡可乐	c=1 d=1 t=6520
jian yi shuo 	建议说	c=1 d=1 t=1794
jian zhi 	减脂	c=3 d=1.77158 t=2238
jiang 	浆	c=1 d=1 t=1119
jiang 	酱	c=8 d=1.95832 t=3673
jiang di 	降低	c=3 d=1.00923 t=3195
jiang guo 	浆果	c=2 d=1.99501 t=2382
jiang liao 	酱料	c=1 d=1 t=6765
jiang qing 	江青	c=1 d=1 t=3974
jiang qiu 	将球	c=1 d=1 t=3973
jiang shan 	江山	c=1 d=1 t=4709
jiang xin jiang yi 	将信将疑	c=1 d=1 t=5873
jiang xue jin 	奖学金	c=1 d=1 t=6010
jiao 	交	c=1 d=1 t=5292
jiao 	叫	c=5 d=1.00271 t=5215
jiao 	教	c=1 d=1 t=193
jiao 	绞	c=1 d=1 t=204
jiao 	脚	c=1 d=1 t=4983
jiao 	角	c=2 d=1.93707 t=6029
jiao cai 	脚踩	c=1 d=1 t=1716
jiao du 	角度	c=2 d=1.90484 t=4012
jiao huan 	交换	c=1 d=1 t=5758
jiao jie chu 	交界处	c=1 d=1 t=4744
jiao le 	教了	c=1 d=1 t=203
jiao lian 	教练	c=4 d=1 t=6238
jiao nang 	胶囊	c=1 d=1 t=1670
jiao qi 	娇妻	c=1 d=1 t=5899
jiao shou 	教授	c=2 d=1 t=3465
jiao shui 	交税	c=2 d=1.57121 t=3250
jiao tong 	交通	c=2 d=1.96079 t=4233
jiao wo 	教我	c=1 d=1 t=215
jiao yu bu 	教育部	c=1 d=1 t=4446
jiao zhi 	教职	c=1 d=1 t=5430
jiao zhi 	胶纸	c=1 d=1 t=5632
jiao zhi 	脚趾	c=1 d=1 t=6090
jie 	姐	c=1 d=1 t=2450
jie chu 	接触	c=3 d=1 t=5734
jie gou 	结构	c=2 d=1.00045 t=3172
jie guo 	结果	c=7 d=1.12581 t=6303
jie hun 	结婚	c=1 d=1 t=2672
jie ji 	阶级	c=1 d=1 t=3858
jie mei 	姐妹	c=0 d=0.1 t=4543
jie mei le 	姐妹了	c=1 d=1 t=4544
jie pai 	街拍	c=1 d=1 t=339
jie ri 	节日	c=0 d=0.1 t=4545
jie shao 	介绍	c=2 d=1 t=5860
jie shu 	结束	c=1 d=1 t=6513
jie ya 	解压	c=1 d=1 t=2081
jie zou 	节奏	c=1 d=1 t=1858
jin 	今	c=4 d=3.92136 t=378
jin 	劲	c=2 d=1.97531 t=1241
jin 	禁	c=2 d=1.99501 t=2809
jin 	紧	c=3 d=1.00031 t=5032
jin 	进	c=1 d=1 t=4652
jin 	金	c=9 d=1.99603 t=5525
jin hua 	进化	c=1 d=1 t=6336
jin jin 	紧紧	c=1 d=1 t=2752
jin ke neng 	尽可能	c=1 d=1 t=3506
jin ri 	今日	c=1 d=1 t=5083
jin shen 	紧身	c=1 d=1 t=4563
jin shi 	近视	c=1 d=1 t=3276
jin shu 	金属	c=1 d=1 t=811
jin tian 	今天	c=14 d=2.43668 t=6717
jin xing 	进行	c=1 d=1 t=1891
jing 	净	c=1 d=1 t=1770
jing 	经	c=1 d=1 t=5858
jing bu 	颈部	c=1 d=1 t=2500
jing chang 	经常	c=1 d=1 t=1273
jing gao 	警告	c=2 d=1.05054 t=3046
jing jian 	精简	c=1 d=1 t=5788
jing nei 	境内	c=1 d=1 t=3222
jing pian 	晶片	c=2 d=1.98511 t=6652
jing ran 	竟然	c=1 d=1 t=5366
jing shen 	精神	c=1 d=1 t=1403
jing shen wu ran 	精神污染	c=1 d=1 t=1410
jing wai 	境外	c=1 d=1 t=4972
jing wei 	敬畏	c=0 d=0.1 t=3851
jing wei zhi xin 	敬畏之心	c=1 d=1 t=3852
jing yan 	经验	c=1 d=1 t=4315
jing ye 	精液	c=1 d=1 t=1744
jing zhang 	警长	c=1 d=1 t=3762
jing zhi 	静止	c=1 d=1 t=6137
jing zhun 	精准	c=1 d=0.852014 t=808
jing zhun dao 	精准到	c=1 d=1 t=809
jiu 	就	c=26 d=2.07645 t=6317
jiu 	酒	c=5 d=1.40764 t=2707
jiu bei 	就被	c=1 d=1 t=3456
jiu bu hui 	就不会	c=2 d=1.12431 t=2486
jiu dian 	酒店	c=5 d=1.03342 t=5913
jiu hao 	就好	c=2 d=1 t=4082
jiu hao hen duo 	就好很多	c=1 d=1 t=977
jiu hao le 	就好了	c=2 d=1 t=6248
jiu he 	就和	c=1 d=1 t=6601
jiu hen 	就很	c=0 d=0.1 t=1068
jiu hen se 	就很涩	c=1 d=1 t=1069
jiu hui 	就会	c=2 d=1.01398 t=1478
jiu jing 	酒精	c=1 d=1 t=2093
jiu jue de 	就觉得	c=1 d=1 t=2924
jiu ke yi 	就可以	c=1 d=1 t=83
jiu mei le 	就没了	c=1 d=1 t=41
jiu mei you 	就没有	c=2 d=1 t=5937
jiu ming 	救命	c=1 d=1 t=3769
jiu neng 	就能	c=3 d=1.07045 t=5408
jiu neng zou 	就能走	c=1 d=1 t=5409
jiu sheng ting 	救生艇	c=1 d=1 t=2868
jiu shi 	就是	c=11 d=1.61931 t=6257
jiu shi le 	就是了	c=1 d=1 t=3831
jiu shi zong le 	就失踪了	c=1 d=1 t=5171
jiu suan 	就算	c=3 d=1.47473 t=5697
jiu suan shi 	就算是	c=1 d=1 t=5725
jiu suan you 	就算有	c=0 d=0.1 t=4715
jiu suan you ni 	就算有你	c=1 d=1 t=4716
jiu xiang 	就像	c=1 d=1 t=71
jiu xing le 	就行了	c=1 d=1 t=734
jiu you 	就有	c=0 d=0.1 t=1489
jiu you ya 	就有呀	c=1 d=1 t=1490
jiu zai 	就在	c=2 d=1.00002 t=3105
jiu zhao 	就找	c=0 d=0.1 t=1805
jiu zhao le 	就找了	c=1 d=1 t=1806
jiu zhi dao 	就知道	c=1 d=1 t=3390
ju 	句	c=1 d=1 t=5970
ju bao 	举报	c=1 d=1 t=6844
ju ben 	剧本	c=1 d=1 t=5045
ju lai 	局来	c=1 d=1 t=1151
ju li 	距离	c=2 d=2.00305 t=3884
ju qi bu ding 	举棋不定	c=1 d=1 t=1041
ju ran 	居然	c=2 d=1.1437 t=6745
ju ran bu shi 	居然不是	c=1 d=1 t=343
ju shou 	举手	c=2 d=1 t=6591
ju shuo 	据说	c=1 d=1 t=2594
ju shuo shi 	据说是	c=1 d=1 t=1574
ju ti 	具体	c=3 d=1 t=6424
ju tou 	巨头	c=1 d=1 t=3849
ju tou san chi you shen ming 	举头三尺有神明	c=1 d=1 t=3850
ju zhong 	举重	c=1 d=1 t=3149
juan 	卷	c=2 d=1.38868 t=6036
juan xue 	捐血	c=1 d=1 t=1313
jue de 	觉得	c=7 d=1.00152 t=5781
jue ding 	决定	c=2 d=1 t=3914
jue ding le 	决定了	c=1 d=1 t=4200
jun 	军	c=1 d=1 t=4975
jun 	均	c=1 d=1 t=6487
jun dao 	君岛	c=1 d=1 t=361
jun dui 	军队	c=2 d=1.85214 t=4903
ka 	卡	c=7 d=2.78642 t=6680
ka che 	卡车	c=1 d=1 t=515
ka fei 	咖啡	c=1 d=1 t=3804
ka fei bei 	咖啡杯	c=1 d=1 t=4410
ka fei ji 	咖啡机	c=1 d=1 t=3806
ka fei yin 	咖啡因	c=1 d=1 t=2139
ka lu li 	卡路里	c=1 d=1 t=251
kai 	嘅	c=3 d=1.80684 t=3496
kai 	开	c=2 d=1.0047 t=5320
kai chang 	开场	c=0 d=0.1 t=5207
kai fa 	开发	c=1 d=1 t=5280
kai fang 	开放	c=1 d=1 t=1377
kai gong si 	开公司	c=1 d=1 t=2872
kai shang 	开上	c=0 d=0.1 t=6205
kai shang lu 	开上路	c=1 d=1 t=6206
kai shi 	开始	c=2 d=1.00191 t=3041
kai shi hou 	开始后	c=1 d=1 t=1407
kai shi zuo 	开始做	c=1 d=1 t=2372
kai wan 	开玩	c=1 d=1 t=1187
kai xiang 	开箱	c=1 d=1 t=5103
kai xin 	开心	c=5 d=2.94368 t=5328
kan 	看	c=15 d=1.19009 t=6411
kan bing 	看病	c=1 d=1 t=3601
kan bu jian 	看不见	c=1 d=1 t=6349
kan cheng 	看成	c=1 d=1 t=6393
kan dao 	看到	c=5 d=1.00001 t=5354
kan de 	看的	c=0 d=0.172253 t=1006
kan de bu gou 	看的不够	c=1 d=1 t=1007
kan de dao 	看得到	c=1 d=1 t=6363
kan kan 	看看	c=7 d=1 t=5762
kan lai 	看来	c=1 d=1 t=1200
kan le 	看了	c=3 d=1.9802 t=6548
kan ni 	看你	c=2 d=1 t=6614
kan qi lai 	看起来	c=5 d=1.37096 t=5489
kan qiu sai 	看球赛	c=1 d=1 t=4845
kan wan 	看完	c=0 d=0.1 t=1824
kan zhe 	看着	c=1 d=1 t=6789
kan zhe ge 	看这个	c=1 d=1 t=3510
kan zhe xiang 	看着像	c=1 d=1 t=1618
kang 	抗	c=3 d=1.00011 t=2763
kang guo min 	抗过敏	c=1 d=1 t=1307
kao 	烤	c=1 d=1 t=2779
kao 	靠	c=1 d=1 t=3669
kao gu 	考古	c=1 d=1 t=4985
kao lv 	考虑	c=1 d=1 t=4217
kao shi 	考试	c=3 d=2.69632 t=4326
kao yan 	考验	c=0 d=0.1 t=266
ke 	可	c=1 d=1 t=1134
ke 	磕	c=2 d=1.86502 t=2112
ke 	科	c=1 d=1 t=4148
ke 	课	c=1 d=1 t=2800
ke ai 	可爱	c=2 d=1 t=6524
ke ai de 	可爱的	c=1 d=1 t=4512
ke ben 	课本	c=1 d=1 t=1802
ke fou 	可否	c=1 d=1 t=4794
ke fu 	客服	c=4 d=2.85091 t=3386
ke huan 	科幻	c=2 d=1 t=5062
ke lian de 	可怜的	c=1 d=1 t=555
ke nan 	柯南	c=1 d=1 t=5712
ke neng 	可能	c=8 d=1.01156 t=6241
ke neng hao yi dian 	可能好一点	c=1 d=1 t=5779
ke neng shi 	可能是	c=1 d=1 t=3121
ke pa 	可怕	c=2 d=1.00033 t=5737
ke shi 	可是	c=7 d=1.01995 t=6208
ke su lu 	克苏鲁	c=3 d=2.11005 t=3016
ke yan 	磕盐	c=2 d=1.93239 t=295
ke yao 	嗑药	c=1 d=1 t=364
ke yi 	可以	c=12 d=1.00305 t=6738
ke yi rang ni 	可以让你	c=1 d=1 t=798
ke yi yong 	可以用	c=1 d=1 t=1897
ke yi zuo 	可以做	c=1 d=1 t=6724
ken ding 	肯定	c=2 d=1 t=6270
ken ding shi 	肯定是	c=0 d=0.1 t=6610
ken ding shi ni 	肯定是你	c=1 d=1 t=6611
kong 	恐	c=1 d=1.09802 t=493
kong fu 	空腹	c=2 d=1.92312 t=2225
kong shou dao 	空手道	c=1 d=1 t=4898
kong zhi 	控制	c=3 d=1.00004 t=4049
kong zhi zhe 	控制着	c=1 d=1 t=2656
kou 	口	c=3 d=1.99017 t=4335
kou 	扣	c=3 d=1 t=6343
kou qiang 	口腔	c=1 d=1 t=1940
kou qiang kui yang 	口腔溃疡	c=1 d=1 t=5118
kou wei 	口味	c=4 d=1.9396 t=5574
kou xia lai 	扣下来	c=1 d=1 t=2437
kou zhao 	口罩	c=2 d=1.00003 t=4560
ku 	哭	c=1 d=1 t=153
ku ku 	酷酷	c=3 d=1.00148 t=6522
kuai 	快	c=3 d=1 t=6308
kuai la 	快啦	c=1 d=1 t=2946
kuai le 	快乐	c=0 d=0.1 t=78
kuai yi 	快一	c=0 d=0.1 t=2820
kuai yi ge yue le 	快一个月了	c=1 d=1 t=2821
kuan pin 	宽频	c=2 d=1 t=5539
kun 	困	c=1 d=1 t=625
la 	啦	c=8 d=1.35623 t=5694
la 	拉	c=2 d=1.98511 t=6587
la cuo 	啦错	c=1 d=1 t=6583
la gao 	拉高	c=1 d=1 t=550
la ji 	垃圾	c=5 d=1.00001 t=4765
la wei 	辣味	c=1 d=1 t=5026
lai 	来	c=13 d=1.16394 t=6792
lai dang 	来当	c=1 d=1 t=3918
lai ge 	来个	c=3 d=1.95601 t=3588
lai jia 	来加	c=1 d=1 t=1501
lai le 	来了	c=1 d=1 t=3958
lai lian 	来练	c=1 d=1 t=5148
lai ting 	来听	c=1 d=1 t=2519
lai wan 	来玩	c=2 d=1 t=5352
lai ya 	来呀	c=2 d=1.99501 t=4160
lai yong 	来用	c=1 d=1 t=5371
lai yuan 	来源	c=1 d=1 t=4382
lai zhe 	来着	c=1 d=1 t=6110
lai zi 	来自	c=1 d=1 t=1932
lan mao 	蓝猫	c=2 d=1 t=6703
lan zhou 	兰州	c=1 d=1 t=908
lang 	郎	c=0 d=0.1 t=3702
lang dao 	朗道	c=2 d=1.96561 t=1793
lang gou 	狼狗	c=2 d=1.75578 t=2583
lao 	佬	c=1 d=1 t=1760
lao 	老	c=2 d=1 t=6709
lao ban 	老板	c=1 d=1 t=6619
lao bing 	老兵	c=1 d=1 t=1451
lao de 	老得	c=0 d=0.1 t=3701
lao de kuai 	老得快	c=1 d=1 t=3702
lao nian 	老年	c=1 d=1 t=3698
lao ren yuan 	老人院	c=1 d=1 t=4121
lao shi 	老师	c=20 d=2.66048 t=6823
lao shi 	老是	c=3 d=1.22338 t=4705
lao zhen 	落枕	c=1 d=1 t=3732
le 	了	c=87 d=4.33435 t=6722
le a 	了阿	c=1 d=1 t=296
le gao 	乐高	c=1 d=1 t=2940
le ge 	了个	c=0 d=0.1 t=1602
le liang 	了两	c=0 d=0.1 t=2737
le ma 	了吗	c=2 d=1.00072 t=3015
lei bi 	类比	c=1 d=1 t=4930
lei gu 	肋骨	c=2 d=1.87372 t=5994
lei gu chun 	类固醇	c=2 d=1.97045 t=109
lei si 	类似	c=3 d=1.15019 t=6198
lei si de 	类似的	c=1 d=1 t=2343
lei xing 	类型	c=0 d=0.1 t=946
leng 	冷	c=1 d=1 t=5416
leng cang 	冷藏	c=1 d=1 t=6747
li 	嚟	c=1 d=1 t=3417
li 	理	c=1 d=1 t=3112
li 	离	c=4 d=3.71616 t=3895
li 	里	c=7 d=1.00001 t=6684
li 	黎	c=1 d=1 t=5157
li bao 	礼包	c=1 d=1 t=1762
li de 	里的	c=1 d=1 t=2475
li fa 	理发	c=2 d=1.99501 t=1185
li gang 	离港	c=1 d=1 t=5189
li jie 	理解	c=0 d=0.100108 t=6549
li jie cuo 	理解错	c=1 d=1 t=5183
li jing 	离境	c=1 d=1 t=5943
li le 	里了	c=1 d=1 t=451
li lun shang 	理论上	c=1 d=1 t=3214
li ma 	立马	c=1 d=1 t=3018
li mian 	里面	c=4 d=1.29188 t=6534
li mian de ma 	里面的吗	c=1 d=1 t=334
li shi 	历史	c=1 d=1 t=944
li ti 	立体	c=1 d=1 t=3681
li xiao lu 	李小璐	c=1 d=1 t=1950
li zhi 	荔枝	c=0 d=0.1 t=1711
li zi 	粒子	c=2 d=1.98511 t=6025
lia 	俩	c=1 d=1 t=278
lian 	练	c=11 d=1.04 t=6180
lian 	连	c=2 d=1.16447 t=6338
lian ji 	联机	c=3 d=1.92001 t=1504
lian ji zhi hou 	联机之后	c=1 d=1 t=1356
lian jian 	练肩	c=1 d=1 t=85
lian jie 	链接	c=3 d=2.00355 t=4450
lian le 	练了	c=4 d=1.06522 t=6718
lian lian shou 	练练手	c=1 d=1 t=1107
lian qi lai 	连起来	c=0 d=0.1 t=4410
lian qi lai de 	连起来的	c=1 d=1 t=4411
lian wan 	练完	c=0 d=0.1 t=890
lian xi 	练习	c=1 d=1 t=3726
lian xi 	联系	c=2 d=1.00535 t=5718
lian zhe 	连着	c=1 d=1 t=2129
liang 	两	c=4 d=1 t=4775
liang 	粮	c=1 d=1 t=855
liang 	量	c=3 d=1 t=6293
liang 	靓	c=2 d=1.99005 t=4336
liang bei 	两倍	c=1 d=1 t=3654
liang bei 	两杯	c=1 d=1 t=1665
liang dao cai 	两道菜	c=1 d=1 t=971
liang ge 	两个	c=3 d=1.00104 t=6708
liang ge yue 	两个月	c=1 d=1 t=253
liang jia he 	梁家河	c=1 d=1 t=5960
liang jie mei 	两姐妹	c=1 d=1 t=4537
liang kai 	梁凯	c=0 d=0.1 t=1365
liang kai ning 	梁凯宁	c=2 d=1.30728 t=1602
liang nian 	两年	c=3 d=1.98547 t=4312
liang nian qian 	两年前	c=1 d=1 t=5107
liang nian yue 	两年约	c=1 d=1 t=3064
liang shou 	两手	c=2 d=1.99005 t=2413
liang tiao xian 	两条线	c=1 d=1 t=4682
liang zhang 	两张	c=1 d=1 t=4780
liang zhe 	两者	c=2 d=1.97045 t=4933
liang zhong 	两种	c=1 d=1 t=4426
liang zi 	量子	c=2 d=1.93707 t=3972
liao tian 	聊天	c=2 d=1.06555 t=3000
lie chu lai 	列出来	c=1 d=1 t=1520
lin 	林	c=1 d=1 t=2683
lin 	霖	c=3 d=1.0007 t=6800
lin ju 	邻居	c=1 d=1 t=5857
lin mo 	临摹	c=1 d=1 t=1010
lin shi 	临时	c=1 d=1 t=3037
ling 	凌	c=4 d=1.0007 t=6799
ling 	另	c=0 d=0.1 t=201
ling dao 	领导	c=1 d=1 t=5957
ling lin 	凌霖	c=1 d=1 t=4559
ling qu 	领取	c=2 d=1.16864 t=3253
ling wai 	另外	c=2 d=1.79852 t=780
ling yi ge 	另一个	c=1 d=1 t=533
ling yi jian 	另一间	c=1 d=1 t=202
liu 	六	c=1 d=1 t=6089
liu 	刘	c=2 d=2.08517 t=2324
liu 	柳	c=1 d=1 t=2688
liu 	流	c=1 d=1 t=3834
liu 	溜	c=2 d=1.99005 t=2514
liu cheng 	流程	c=1 d=1 t=3707
liu chu 	流出	c=1 d=1 t=1745
liu dong 	流动	c=1 d=1 t=3459
liu ge yue 	六个月	c=1 d=1 t=3450
liu guan 	流官	c=2 d=1.9802 t=1294
liu li 	琉璃	c=3 d=2.98506 t=4802
liu si 	六四	c=1 d=1 t=3289
liu tai yang 	刘太阳	c=3 d=2.91693 t=2326
lou xia 	楼下	c=1 d=1 t=6658
lu 	路	c=0 d=0.1 t=6205
lu ku 	撸哭	c=2 d=1.956 t=4677
luan bian 	乱编	c=1 d=1 t=5510
lun 	论	c=1 d=1 t=1047
lun dao 	轮到	c=1 d=1 t=237
lun dun 	伦敦	c=1 d=1 t=3686
luo li 	萝莉	c=2 d=1.99005 t=890
luo xuan 	螺旋	c=1 d=1 t=1907
lv 	旅	c=1 d=1 t=6798
lv 	率	c=1 d=1 t=4256
lv xing 	旅行	c=2 d=1.00056 t=6629
lv you 	旅游	c=3 d=2.03062 t=5802
ma 	吗	c=44 d=1.86084 t=6811
ma 	嘛	c=1 d=1 t=4109
ma 	马	c=2 d=1.99005 t=4459
ma 	骂	c=2 d=1.90484 t=6573
ma de 	骂得	c=1 d=1 t=6567
ma fan 	麻烦	c=2 d=1.0001 t=4795
ma li ao 	马里奥	c=1 d=1 t=5329
ma nong 	码农	c=0 d=0.1 t=3623
ma nong shu 	码农书	c=1 d=1 t=3624
ma shang 	马上	c=1 d=1 t=1583
ma ya 	妈呀	c=1 d=1 t=1405
ma ya 	麻鸭	c=8 d=1.0901 t=5019
mai 	买	c=10 d=1.0917 t=6195
mai 	卖	c=6 d=2.97025 t=5652
mai 	迈	c=1 d=1 t=4866
mai 	麦	c=1 d=1 t=4980
mai bu 	迈步	c=1 d=1 t=4904
mai ge 	买个	c=2 d=1 t=3410
mai guo 	买过	c=0 d=0.1 t=1547
mai guo de 	买过的	c=1 d=1 t=1548
mai le 	买了	c=4 d=1.02149 t=5864
mai le ge 	买了个	c=2 d=1.011 t=2505
mai mai 	买卖	c=3 d=1.3334 t=5935
mai shu 	买书	c=1 d=1 t=53
mai xiang 	卖相	c=1 d=1 t=965
man 	蛮	c=2 d=1 t=5836
man hua 	漫画	c=1 d=1 t=6786
man lian 	满脸	c=1 d=1 t=6819
man yi 	蛮夷	c=1 d=1 t=6569
mang 	忙	c=1 d=1 t=659
mang cai 	盲猜	c=1 d=1 t=681
mang nv 	盲女	c=1 d=1 t=4476
mao 	冇	c=7 d=2.91904 t=5093
mao 	毛	c=6 d=1.7173 t=4609
mao 	猫	c=5 d=1.01633 t=6815
mao wei 	猫尾	c=1 d=1 t=4192
mei 	媚	c=1 d=1 t=5918
mei 	每	c=1 d=1 t=1593
mei 	没	c=12 d=1.12958 t=6712
mei 	煤	c=1 d=1 t=3271
mei 	美	c=1 d=1 t=5536
mei che 	没车	c=1 d=1 t=4227
mei ci 	每次	c=2 d=1.00013 t=4532
mei ci qu wan 	每次去玩	c=1 d=1 t=494
mei dou 	妹抖	c=1 d=1 t=865
mei guan xi 	没关系	c=1 d=1 t=2704
mei guo 	每过	c=1 d=1 t=2558
mei guo 	美国	c=3 d=2.83341 t=5434
mei hao 	美好	c=1 d=1 t=6776
mei hao sheng 	每毫升	c=1 d=1 t=6689
mei hou wang 	美猴王	c=1 d=1 t=4535
mei jian guo 	没见过	c=1 d=1 t=1901
mei liang che 	每辆车	c=1 d=1 t=6240
mei mei 	妹妹	c=1 d=1 t=5482
mei mei 	美美	c=1 d=1 t=3306
mei mo 	魅魔	c=1 d=1 t=3583
mei na 	美娜	c=1 d=1 t=1859
mei na me 	没那么	c=2 d=1 t=5736
mei na me hao 	没那么好	c=1 d=1 t=4226
mei nian 	每年	c=1 d=1 t=3231
mei qi 	煤气	c=1 d=1 t=6422
mei ren 	美人	c=2 d=1 t=6035
mei ri 	每日	c=1 d=1 t=826
mei shen me 	没什么	c=1 d=1 t=6314
mei tian 	每天	c=5 d=2.02302 t=1641
mei wen ti 	没问题	c=2 d=1 t=5693
mei xiang dao 	没想到	c=1 d=1 t=6111
mei yi zhang 	每一章	c=1 d=1 t=921
mei yong 	没用	c=0 d=0.1 t=6658
mei you 	没有	c=18 d=1.25839 t=6368
mei you mai mai 	没有买卖	c=1 d=1 t=5936
mei you ya li 	没有压力	c=1 d=1 t=309
mei zai 	没在	c=1 d=1 t=2237
mei zhou 	梅州	c=5 d=3.98305 t=1300
mei zhou 	每周	c=1 d=1 t=1998
men 	们	c=2 d=1.00002 t=2701
men 	门	c=2 d=1.02226 t=2687
men zhen 	门诊	c=2 d=1.02034 t=1945
meng 	梦	c=1 d=1 t=5501
meng meng 	萌萌	c=1 d=1 t=4741
meng nai 	梦乃	c=1 d=1 t=3749
mi 	咪	c=1 d=1 t=1885
mi 	迷	c=3 d=1.00504 t=4689
mi lian 	迷恋	c=1 d=1 t=2301
mi ma 	密码	c=0 d=0.1 t=16
mi mi 	秘密	c=1 d=1 t=2660
mi ni cang 	迷你仓	c=3 d=1 t=4767
mi shi 	迷失	c=1 d=1 t=3801
mian bao 	面包	c=1 d=1 t=6359
mian dai 	面带	c=1 d=1 t=6332
mian fei 	免费	c=2 d=1.04285 t=4112
mian ji da 	面积大	c=1 d=1 t=530
mian nian fei 	免年费	c=1 d=1 t=4163
mian pi 	面皮	c=1 d=1 t=2448
mian qian 	免签	c=1 d=1 t=5949
mian qu 	免去	c=1 d=1 t=4317
mie jue 	灭绝	c=1 d=1 t=3578
min 	敏	c=1 d=1 t=5159
min 	民	c=0 d=0.1 t=1302
min mie 	泯灭	c=1 d=1 t=6134
min zheng 	民政	c=1 d=1 t=3704
ming 	名	c=0 d=0.1 t=268
ming ming 	明明	c=1 d=1 t=5660
ming tian 	明天	c=2 d=0.752634 t=5900
ming tian he 	明天喝	c=1 d=1 t=5901
ming xiang 	冥想	c=1 d=1 t=2597
ming zi 	名字	c=6 d=1.00146 t=6526
mo 	摸	c=1 d=1 t=6119
mo cha 	抹茶	c=1 d=1 t=3835
mo fa 	魔法	c=2 d=1.99005 t=3334
mo gu 	蘑菇	c=3 d=1.99211 t=3335
mo hei 	抹黑	c=0 d=0.1 t=5922
mo hei wo 	抹黑我	c=1 d=1 t=5923
mo hu 	模糊	c=1 d=0.1 t=4582
mo jing 	魔镜	c=2 d=1.99501 t=4631
mo mo 	摸摸	c=3 d=1 t=6118
mo ni 	模拟	c=1 d=1 t=516
mo sheng ren 	陌生人	c=4 d=3.38796 t=5752
mo shi 	模式	c=1 d=1 t=3665
mo xiong 	摸胸	c=1 d=1 t=5484
mo yu 	摸鱼	c=1 d=1 t=2117
mou zhong 	某种	c=1 d=1 t=769
mu ce 	目测	c=1 d=1 t=1972
mu di 	目的	c=5 d=1.88694 t=4948
mu di shi 	目的是	c=1 d=1 t=726
mu zhi 	拇指	c=6 d=1.00035 t=5617
na 	哪	c=6 d=1.01074 t=5477
na 	拿	c=6 d=1.02266 t=5052
